Competition_Group,Competition_Month,Competition_Section,Competition_Year,List_ID,List_Publication_Date,Home_City,Home_District,Home_Section,Home_State,List_Publication_Time,List_Title,Name,Points,Rank
Girls' 16,January,00,2015.0,1608221,01/08/2016,Fairfax,Virginia,Mid-Atlantic,VA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Subhash, Natasha ",14730,1
Girls' 16,January,00,2015.0,1608221,01/08/2016,Palo Alto,Northern California,No. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Choy, Sara ",9711,2
Girls' 16,January,00,2015.0,1608221,01/08/2016,Fort Dodge,Iowa,Missouri Valley,IA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Flores, Victoria P.",8270,3
Girls' 16,January,00,2015.0,1608221,01/08/2016,Mobile,Alabama,Southern,AL,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Lairmore, Hannah ",8048,4
Girls' 16,January,00,2015.0,1608221,01/08/2016,La Grange,Chicago,Midwest,IL,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Kowalski, Meg Anne",8043,5
Girls' 16,January,00,2015.0,1608221,01/08/2016,La Jolla,San Diego,So. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Mossmer, Nicole Elise",7847,6
Girls' 16,January,00,2015.0,1608221,01/08/2016,San Diego,San Diego,So. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Zhao, Hannah ",7614,7
Girls' 16,January,00,2015.0,1608221,01/08/2016,Moorestown,New Jersey,Middle States,NJ,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Hand, Clarissa Quyen",7202,8
Girls' 16,January,00,2015.0,1608221,01/08/2016,Sugar Land,Texas,Texas,TX,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Zein, Marlee ",7057,9
Girls' 16,January,00,2015.0,1608221,01/08/2016,New Milford,New Jersey Region,Eastern,NJ,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"O'Dell, Amber Kate",6305,10
Girls' 16,January,00,2015.0,1608221,01/08/2016,Carrollton,Texas,Texas,TX,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Jones, Sydney ",6163,11
Girls' 16,January,00,2015.0,1608221,01/08/2016,Braintree,Eastern Mass.,New England,MA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Harvey, Kacie Wakana",6122,12
Girls' 16,January,00,2015.0,1608221,01/08/2016,Raleigh,North Carolina,Southern,NC,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Forbes, Abigail T.",6118,13
Girls' 16,January,00,2015.0,1608221,01/08/2016,Denver,Colorado,Intermountain,CO,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Martinelli, Samantha J",6043,14
Girls' 16,January,00,2015.0,1608221,01/08/2016,Fort Worth,Texas,Texas,TX,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Kung, Chelsea Shong",6026,15
Girls' 16,January,00,2015.0,1608221,01/08/2016,Calhoun,Georgia,Southern,GA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Kessler, McCartney J.",5982,16
Girls' 16,January,00,2015.0,1608221,01/08/2016,Devon,Philadelphia,Middle States,PA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Li, Ann ",5781,17
Girls' 16,January,00,2015.0,1608221,01/08/2016,Short Hills,New Jersey Region,Eastern,NJ,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Brylin, Anna ",5754,18
Girls' 16,January,00,2015.0,1608221,01/08/2016,Dix Hills,Long Island Region,Eastern,NY,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Ma, Lea ",5044,19
Girls' 16,January,00,2015.0,1608221,01/08/2016,Redondo Beach,Southern California,So. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Johnson, Taylor Victoria",4937,20
Girls' 16,January,00,2015.0,1608221,01/08/2016,Lombard,Chicago,Midwest,IL,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Allen, Kolie Genee",4758,21
Girls' 16,January,00,2015.0,1608221,01/08/2016,Hillsborough,Northern California,No. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Campana, Carolyn ",4708,22
Girls' 16,January,00,2015.0,1608221,01/08/2016,Pepper Pike,Northeastern Ohio,Midwest,OH,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Hewitt, Dalayna ",4584,23
Girls' 16,January,00,2015.0,1608221,01/08/2016,Briarcliff Manor,Southern Region,Eastern,NY,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Lim, Rachel ",4560,24
Girls' 16,January,00,2015.0,1608221,01/08/2016,Mesa,Central Arizona,Southwest,AZ,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Bridges, Taylor Marie",4499,25
Girls' 16,January,00,2015.0,1608221,01/08/2016,Union City,Northern California,No. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Girls 16 Final Rankings (Combined),"Eason, Rachel ",4441,26
