Competition_Group,Competition_Month,Competition_Section,Competition_Year,List_ID,List_Publication_Date,Home_City,Home_District,Home_Section,Home_State,List_Publication_Time,List_Title,Name,Points,Rank
Boys' 14,January,00,2015.0,1608230,01/08/2016,Boca Raton,Region 6,Florida,FL,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Grant, William ",9980,1
Boys' 14,January,00,2015.0,1608230,01/08/2016,Mather,Northern California,No. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Leustian, Stefan Alexander",8548,2
Boys' 14,January,00,2015.0,1608230,01/08/2016,Boca Raton,Region 6,Florida,FL,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Jachuck, Ronan Aaron",7960,3
Boys' 14,January,00,2015.0,1608230,01/08/2016,Bethesda,Maryland,Mid-Atlantic,MD,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"McDonald, Evin ",7526,4
Boys' 14,January,00,2015.0,1608230,01/08/2016,Nicasio,Northern California,No. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Jackson, Ryder Scott",7484,5
Boys' 14,January,00,2015.0,1608230,01/08/2016,Tulsa,Oklahoma,Missouri Valley,OK,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Han, Nathan ",7345,6
Boys' 14,January,00,2015.0,1608230,01/08/2016,Commack,Long Island Region,Eastern,NY,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Brachman, Spencer ",7319,7
Boys' 14,January,00,2015.0,1608230,01/08/2016,Austin,Texas,Texas,TX,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Allen, Leighton B",6853,8
Boys' 14,January,00,2015.0,1608230,01/08/2016,Calabasas,Southern California,So. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Bullard, Jacob P.",6787,9
Boys' 14,January,00,2015.0,1608230,01/08/2016,Andover,Eastern Mass.,New England,MA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Fu, Connor Eric",6655,10
Boys' 14,January,00,2015.0,1608230,01/08/2016,Richmond,Virginia,Mid-Atlantic,VA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Whitaker, Spencer G.",6570,11
Boys' 14,January,00,2015.0,1608230,01/08/2016,Fayetteville,North Carolina,Southern,NC,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"WANG, JERRY ",6513,12
Boys' 14,January,00,2015.0,1608230,01/08/2016,ARCADIA,Southern California,So. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Yang, Harry Alex",6462,13
Boys' 14,January,00,2015.0,1608230,01/08/2016,New Brighton,Northern,Northern,MN,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Heck, Hunter Kang",6363,14
Boys' 14,January,00,2015.0,1608230,01/08/2016,Atlanta,Georgia,Southern,GA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Johns, Garrett James",6164,15
Boys' 14,January,00,2015.0,1608230,01/08/2016,Marietta,Georgia,Southern,GA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Chopra, Keshav ",6141,16
Boys' 14,January,00,2015.0,1608230,01/08/2016,Wilmington,Delaware,Middle States,DE,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Nisbet, Connor ",6062,17
Boys' 14,January,00,2015.0,1608230,01/08/2016,Leesburg,Virginia,Mid-Atlantic,VA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Dale, Andrew Michael",5863,18
Boys' 14,January,00,2015.0,1608230,01/08/2016,Flowery Branch,Georgia,Southern,GA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"martin, andres rafael",5719,19
Boys' 14,January,00,2015.0,1608230,01/08/2016,Northport,Long Island Region,Eastern,NY,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Kingsley, Cannon ",5651,20
Boys' 14,January,00,2015.0,1608230,01/08/2016,Paradise Valley,Central Arizona,Southwest,AZ,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Vallabhaneni, Niroop ",5627,21
Boys' 14,January,00,2015.0,1608230,01/08/2016,Hollywood,Region 8,Florida,FL,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"GARCIA, NICHOLAS ",5608,22
Boys' 14,January,00,2015.0,1608230,01/08/2016,Bradenton,Region 5,Florida,FL,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Neff, Adam ",5477,23
Boys' 14,January,00,2015.0,1608230,01/08/2016,Rockville,Maryland,Mid-Atlantic,MD,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Bell, Richard ",5469,24
Boys' 14,January,00,2015.0,1608230,01/08/2016,Boca Raton,Region 6,Florida,FL,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Gray, Spencer ",5361,25
Boys' 14,January,00,2015.0,1608230,01/08/2016,New Albany,Ohio Valley,Midwest,OH,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Cash, Robert ",5220,26
Boys' 14,January,00,2015.0,1608230,01/08/2016,LA Mesa,San Diego,So. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Woldeab, Siem ",4910,27
Boys' 14,January,00,2015.0,1608230,01/08/2016,Bellevue,Northwest Washington,Pacific Northwest,WA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Yu, Thomas S.",4820,28
Boys' 14,January,00,2015.0,1608230,01/08/2016,Altadena,Southern California,So. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Boyer, Tristan W.",4725,29
Boys' 14,January,00,2015.0,1608230,01/08/2016,San Antonio,Texas,Texas,TX,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"roddick, JC ",4651,30
Boys' 14,January,00,2015.0,1608230,01/08/2016,NEWBURGH,Central Indiana,Midwest,IN,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Sharygin, Daniel ",4632,31
Boys' 14,January,00,2015.0,1608230,01/08/2016,Austin,Texas,Texas,TX,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Arimilli, Nathan ",4568,32
Boys' 14,January,00,2015.0,1608230,01/08/2016,New Albany,Ohio Valley,Midwest,OH,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Jose, Joel Nathan",4544,33
Boys' 14,January,00,2015.0,1608230,01/08/2016,Marina Del Rey,Southern California,So. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Jones, Miles ",4494,34
Boys' 14,January,00,2015.0,1608230,01/08/2016,Greenwich,Southern Region,Eastern,CT,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Spizzirri, Eliot ",4465,35
Boys' 14,January,00,2015.0,1608230,01/08/2016,Hilton Head Island,South Carolina,Southern,SC,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Sculley, Scott F.",4361,36
Boys' 14,January,00,2015.0,1608230,01/08/2016,Roseville,Northern California,No. California,CA,Published: 1/8/2016 at 12:36 PM.                                                        ,*Boys 14 Final Rankings (Combined),"Mayo, Aidan Michael",4313,37
